Designator,Mid X,Mid Y,Layer,Rotation
C44,96.456000mm,-89.500000mm,Top,-90
C45,70.695000mm,-103.500000mm,Top,-90
C46,96.456000mm,-103.500000mm,Top,-90
C47,70.695000mm,-117.500000mm,Top,-90
C48,96.456000mm,-117.500000mm,Top,-90
C49,70.695000mm,-131.500000mm,Top,-90
C50,96.456000mm,-131.500000mm,Top,-90
C51,70.640000mm,-145.960000mm,Top,-90
C52,96.456000mm,-146.500000mm,Top,-90
C53,43.300000mm,-149.000000mm,Top,90
C54,58.400000mm,-61.250000mm,Top,0
C55,56.400000mm,-61.250000mm,Top,180
C56,205.847349mm,-158.900000mm,Top,0
C57,66.847349mm,-32.700000mm,Top,0
D1,34.700000mm,-110.300000mm,Top,180
D2,34.700000mm,-113.800000mm,Top,180
D3,34.700000mm,-103.800000mm,Top,180
D4,34.700000mm,-107.300000mm,Top,180
D5,219.400000mm,-124.000000mm,Top,90
D6,69.000000mm,-44.000000mm,Top,90
D7,94.761000mm,-44.000000mm,Top,90
D8,69.000000mm,-58.000000mm,Top,90
D9,94.761000mm,-58.000000mm,Top,90
D10,69.000000mm,-72.000000mm,Top,90
D11,94.761000mm,-72.000000mm,Top,90
D12,69.000000mm,-86.000000mm,Top,90
D13,94.761000mm,-86.000000mm,Top,90
D14,69.000000mm,-100.000000mm,Top,90
D15,94.761000mm,-100.000000mm,Top,90
D16,69.000000mm,-114.000000mm,Top,90
D17,94.761000mm,-114.000000mm,Top,90
D18,69.000000mm,-128.000000mm,Top,90
D19,94.761000mm,-128.000000mm,Top,90
D20,68.945000mm,-142.460000mm,Top,90
D21,94.761000mm,-143.000000mm,Top,90
D22,183.500000mm,-53.700000mm,Top,90
D23,219.400000mm,-130.000000mm,Top,90
D24,219.400000mm,-136.000000mm,Top,90
D25,219.400000mm,-142.000000mm,Top,90
D26,219.400000mm,-148.000000mm,Top,90
D27,219.400000mm,-154.000000mm,Top,90
D28,219.400000mm,-160.000000mm,Top,90
D29,219.400000mm,-118.000000mm,Top,90
D30,183.500000mm,-64.700000mm,Top,90
D31,183.500000mm,-75.700000mm,Top,90
D32,202.297500mm,-85.947000mm,Top,90
D33,183.500000mm,-86.027000mm,Top,90
D34,202.297500mm,-97.027000mm,Top,90
D35,183.500000mm,-97.354500mm,Top,90
D36,193.500000mm,-108.354500mm,Top,90
D37,193.500000mm,-119.354500mm,Top,90
D38,193.500000mm,-130.354500mm,Top,90
D39,193.500000mm,-141.354500mm,Top,90
D40,195.700000mm,-154.900000mm,Top,180
D41,202.557500mm,-53.592500mm,Top,90
D42,202.557500mm,-64.592500mm,Top,90
